MASV,HOTEN,PHAI,NGSINH,DCHI,DT,MACT,MANGANH,SOTCTL,DTBTL
SV0001,Đỗ Phương Anh Tâm,Nữ,2001-10-10,Đắk Lắk,0839821099,CTTT,CNTT,,
SV0002,Hoàng Phương Anh Đức,Nữ,2000-07-22,Đắk Lắk,0843225946,CQ,CNTT,,
SV0003,Huỳnh Huy Tú Điền,Nữ,2006-01-15,Long An,0383270747,CTTT,CNTT,,
SV0004,Hoàng Văn Dương,Nam,2002-06-05,Ninh Thuận,0434570670,CTTT,CNTT,,
SV0005,Trần Đức Long Thảo,Nam,2000-06-27,Bình Định,0873422323,CQ,CNTT,,
SV0006,Đặng Văn Huy Phượng,Nam,2004-02-04,Tiền Giang,0717636369,CQ,CNTT,,
SV0007,Hoàng Phương Thanh,Nam,1999-04-29,Cao Bằng,0757013100,CLC,CNTT,,
SV0008,Đỗ Thị Kim Khánh,Nam,2003-01-21,Vĩnh Phúc,0388251847,VP,CNTT,,
SV0009,Đỗ Hồng Hương,Nam,2004-09-09,Thừa Thiên Huế,0517307392,CLC,CNTT,,
SV0010,Đỗ Tú Thắm,Nữ,2001-08-11,Nam Định,0457125692,CQ,CNTT,,
SV0011,Nguyễn Văn Duy,Nữ,2005-12-17,Cà Mau,0629602704,CLC,CNTT,,
SV0012,Hoàng Thị Kim Phúc,Nam,2002-02-02,Bắc Kạn,0788571462,CTTT,CNTT,,
SV0013,Nguyễn Thị Kim Duy,Nữ,2003-03-10,Bình Định,0574389235,CTTT,CNTT,,
SV0014,Đặng Tú Quân Hương,Nữ,1999-02-06,Hải Dương,0654896140,VP,CNTT,,
SV0015,Bùi Thành Đức Tân,Nam,2004-12-19,Lâm Đồng,0835445140,CTTT,CNTT,,
SV0016,Bùi Tú Quân Đức,Nam,1999-07-23,Vĩnh Long,0750182408,CQ,CNTT,,
SV0017,Đặng Văn Huy Quỳnh,Nam,2001-11-13,Phú Yên,0597458088,CQ,CNTT,,
SV0018,Lê Thị Kim Trang,Nữ,1999-07-25,Quảng Ngãi,0555465245,CTTT,CNTT,,
SV0019,Hoàng Phương Thắng,Nam,2005-04-28,Quảng Trị,0347430659,CQ,CNTT,,
SV0020,Bùi Đức Long Bình,Nam,2002-09-25,Đồng Nai,0839590879,CLC,CNTT,,
SV0021,Phạm Minh Phong,Nam,2003-06-01,Quảng Ngãi,0938137609,CQ,CNTT,,
SV0022,Hoàng Văn Hòa,Nữ,2004-02-10,Trà Vinh,0571801312,CLC,CNTT,,
SV0023,Huỳnh Hào Nam Thành,Nữ,2006-05-29,Kiên Giang,0326016131,CQ,CNTT,,
SV0024,Nguyễn Đức Long Hải,Nữ,2001-01-19,Bình Định,0346473410,VP,CNTT,,
SV0025,Nguyễn Quốc Việt Ngân,Nữ,2003-09-20,Bến Tre,0544187999,CLC,CNTT,,
SV0026,Trần Như Trường,Nam,1999-07-06,Đồng Tháp,0509978195,CQ,CNTT,,
SV0027,Hoàng Thị Kim Hoàng,Nam,1999-05-06,Quảng Trị,0406278388,CLC,CNTT,,
SV0028,Đỗ Văn Huy Dương,Nữ,2003-10-07,Long An,0438980834,CTTT,CNTT,,
